mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_sampler,param_svd,param_tfidf__max_features,param_tfidf__ngram_range,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.105171283086141,0.47914558245849526,0.028776884078979492,0.006418729384534418,0.5,RandomOverSampler(random_state=42),passthrough,30000,"(1, 1)",,"{'clf__C': 0.5, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",0.5318136207425431,0.4817713977768698,0.4284293512514555,0.4806714565902894,0.042213617056679004,1
8.39197587966919,0.5946509983192456,0.04920077323913574,0.00837328138001256,0.5,RandomOverSampler(random_state=42),passthrough,30000,"(1, 2)",,"{'clf__C': 0.5, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",0.4816694225741693,0.44983820807885516,0.40154971234097725,0.44435244766466725,0.03293794334253499,11
4.571465651194255,0.46213939333128345,0.03293490409851074,0.006066401471042161,1.0,RandomOverSampler(random_state=42),passthrough,20000,"(1, 1)",,"{'clf__C': 1.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",0.5183334223172916,0.45602285982751095,0.4487737032430078,0.4743766617959368,0.03122269649304776,5
9.99797018369039,0.873483625795418,0.06100813547770182,0.004318643993044633,1.0,RandomOverSampler(random_state=42),passthrough,20000,"(1, 2)",,"{'clf__C': 1.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",0.44517758645049915,0.4384177039600437,0.40458833640763775,0.42939454227272683,0.01775640522716761,15
4.7805101076761884,0.09539995778061137,0.030041217803955078,0.0033394923703680404,1.0,RandomOverSampler(random_state=42),passthrough,30000,"(1, 1)",,"{'clf__C': 1.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",0.5183334223172916,0.45602285982751095,0.4487737032430078,0.4743766617959368,0.03122269649304776,5
10.506189187367758,0.9956499426735703,0.05496962865193685,0.006993605830450235,1.0,RandomOverSampler(random_state=42),passthrough,30000,"(1, 2)",,"{'clf__C': 1.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",0.44517758645049915,0.4384177039600437,0.40458833640763775,0.42939454227272683,0.01775640522716761,15
5.551396131515503,0.9221380380689926,0.024709224700927734,0.0029001781826345136,2.0,RandomOverSampler(random_state=42),passthrough,20000,"(1, 1)",,"{'clf__C': 2.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",0.5082419414377404,0.45993470129997166,0.42082121823078905,0.4629992869895004,0.03575508798845229,7
9.981407642364502,0.6673334551747795,0.05473200480143229,0.0053859308025706295,2.0,RandomOverSampler(random_state=42),passthrough,20000,"(1, 2)",,"{'clf__C': 2.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",0.45618409106781194,0.4537199234873653,0.40463114918144344,0.4381783879122069,0.02374280172052514,13
5.091710885365804,0.7592983802436784,0.030382156372070312,0.003889620822452574,2.0,RandomOverSampler(random_state=42),passthrough,30000,"(1, 1)",,"{'clf__C': 2.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",0.5082419414377404,0.45993470129997166,0.42082121823078905,0.4629992869895004,0.03575508798845229,7
11.475560903549194,0.2757827767882681,0.050829410552978516,0.011645106286513354,2.0,RandomOverSampler(random_state=42),passthrough,30000,"(1, 2)",,"{'clf__C': 2.0, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",0.45618409106781194,0.4537199234873653,0.40463114918144344,0.4381783879122069,0.02374280172052514,13
0.6334138711293539,0.0507338416987403,0.0,0.0,0.5,SMOTE(random_state=42),"TruncatedSVD(n_components=200, random_state=42)",20000,"(1, 1)",StandardScaler(with_mean=False),"{'clf__C': 0.5, 'sampler': SMOTE(random_state=42), 'scaler': StandardScaler(with_mean=False), 'svd': TruncatedSVD(n_components=200, random_state=42), 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",,,,,,25
